"Presentation Grid: Direction [1,0,0] (m)","Presentation Grid: Static Pressure (Pa)"
0.044500000000000005,234.8929900024741
0.0446,234.1484667428158
0.044700000000000004,233.52461023934302
0.044800000000000006,233.0297299111262
0.0449,232.408295630652
0.045000000000000005,231.78251004379126
0.0451,231.2884863144718
0.045200000000000004,230.84822668420384
0.04530000000000001,230.24060425942298
0.0454,229.48884666571394
0.045500000000000006,229.00228577724192
0.0456,228.5581849933369
0.045700000000000005,227.8983662665123
0.04580000000000001,227.31668105651625
0.0459,226.78059894469334
0.046000000000000006,226.18825490784366
0.0461,225.63301898608916
0.046200000000000005,225.06323493769742
0.04630000000000001,224.3187668574392
0.046400000000000004,223.7639139854
0.04650000000000001,223.3109445461887
0.0466,222.7685213770019
0.046700000000000005,222.12197340404964
0.04680000000000001,221.55550411960576
0.0469,221.0413968260691
0.047,220.42233421542915
0.0471,219.84211270444212
0.0472,219.30273220597883
0.0473,218.6930148906249
0.0474,218.19990960787982
0.0475,217.71372660214547
0.0476,217.20712928372086
0.0477,216.59173024771735
0.0478,215.96699115808588
0.0479,215.3959143757238
0.048,214.89014970354037
0.048100000000000004,214.33774760883534
0.0482,213.75529876869405
0.0483,213.2259043729864
0.0484,212.66327809897484
0.0485,212.0335148270824
0.048600000000000004,211.49194078426808
0.0487,210.9636437515146
0.0488,210.4136461277376
0.0489,209.88232812442584
0.049,209.33875485602766
0.049100000000000005,208.73331451817648
0.0492,208.19618988293223
0.049300000000000004,207.62095789966406
0.0494,207.0889604978729
0.0495,206.5474425032735
0.049600000000000005,206.01113076222828
0.0497,205.44630353699904
0.049800000000000004,204.8514108916861
0.0499,204.36222126655048
0.05,203.870443654494
0.050100000000000006,203.28695737448288
0.0502,202.63244666327955
0.050300000000000004,202.1376828776265
0.0504,201.58330269830185
0.0505,201.0058512946125
0.050600000000000006,200.49101676073042
0.0507,200.06321411365934
0.050800000000000005,199.52969128959376
0.0509,198.85738050717555
0.051000000000000004,198.31077633950918
0.051100000000000007,197.87726414650388
0.0512,197.30977728746075
0.051300000000000005,196.71909115463495
0.0514,196.19066696224036
0.051500000000000004,195.62501097950735
0.05160000000000001,195.1665770696709
0.0517,194.6749718617648
0.051800000000000006,193.99350982537726
0.0519,193.46139856812079
0.052000000000000005,192.97489083500113
0.05210000000000001,192.48205109499395
0.0522,191.97950476508413
0.052300000000000006,191.41160382058297
0.0524,190.9124412340825
0.052500000000000005,190.41750808718643
0.05260000000000001,189.7517512399354
0.052700000000000004,189.25538210854575
0.05280000000000001,188.6617012092902
0.0529,188.16815159421822
0.053000000000000005,187.72117006182089
0.05310000000000001,187.27668225494563
0.053200000000000004,186.73315703723347
0.05330000000000001,186.09091766537313
0.0534,185.57203254732303
0.053500000000000006,185.15463702345733
0.05360000000000001,184.63581749331206
0.053700000000000005,184.01200774218887
0.05380000000000001,183.3749470259645
0.0539,182.9264003210701
0.054000000000000006,182.43618214435992
0.05410000000000001,181.89631350152194
0.054200000000000005,181.40450532050454
0.05430000000000001,180.8699520828959
0.054400000000000004,180.34262298673275
0.05450000000000001,179.9254098231031
0.05460000000000001,179.39052006424754
0.054700000000000006,178.70526820921805
0.05480000000000001,178.2396052654658
0.054900000000000004,177.73250684785307
0.05500000000000001,177.21084567296202
0.05510000000000001,176.60611061973032
0.055200000000000006,176.1487041876535
0.05530000000000001,175.6572324050212
0.055400000000000005,175.0912971435755
0.05550000000000001,174.57195412825968
0.05560000000000001,174.07039034528134
0.055700000000000006,173.51478887071426
0.05580000000000001,173.09002343519387
0.055900000000000005,172.60615265772503
0.05600000000000001,172.00322500376205
0.05610000000000001,171.56599975012068
0.05620000000000001,171.09485528552977
0.056299999999999996,170.56402990015613
0.0434,241.18034080474172
0.043500000000000004,240.57764846959617
0.0436,239.9716295893304
0.0437,239.47619693051092
0.043800000000000006,238.61569384954055
0.0439,238.22368275519693
0.044000000000000004,237.75923217085074
0.0441,237.19622451459873
0.0442,236.59392137020768
0.044300000000000006,236.09717897790688
0.0444,235.36057982236525
0.044500000000000005,234.8929900024741
0.0446,234.1484667428158
0.044700000000000004,233.5987081285566
0.044800000000000006,233.0297299111262
0.0449,232.5652138874866
0.045000000000000005,232.02723225823138
0.0451,231.33435947209364
0.045200000000000004,230.84822668420384
0.04530000000000001,230.24060425942298
0.0454,229.48884666571394
0.045500000000000006,228.89395065797726
0.0456,228.5581849933369
0.045700000000000005,227.8983662665123
0.04580000000000001,227.31668105651625
0.0459,226.78059894469334
0.046000000000000006,226.18825490784366
0.0461,225.63301898608916
0.046200000000000005,225.06323493769742
0.04630000000000001,224.3187668574392
0.046400000000000004,223.7639139854
0.04650000000000001,223.3109445461887
0.0466,222.7685213770019
0.046700000000000005,222.12197340404964
0.04680000000000001,221.55550411960576
0.0469,221.0413968260691
0.047,220.42233421542915
0.0471,219.84211270444212
0.0472,219.30273220597883
0.0473,218.6930148906249
0.0474,218.19990960787982
0.0475,217.95858620558283
0.0476,217.20712928372086
0.0477,216.59173024771735
0.0478,215.96699115808588
0.0479,215.3959143757238
0.048,214.89014970354037
0.048100000000000004,214.33774760883534
0.0482,213.75529876869405
0.0483,213.2259043729864
0.0484,212.66327809897484
0.0485,212.0335148270824
0.048600000000000004,211.7335407109931
0.0487,210.9636437515146
0.0488,210.4136461277376
0.0489,209.88232812442584
0.049,209.57836559345014
0.049100000000000005,208.73331451817648
0.0492,208.19618988293223
0.049300000000000004,207.62095789966406
0.0494,207.0889604978729
0.0495,206.5474425032735
0.049600000000000005,206.01113076222828
0.0497,205.44630353699904
0.049800000000000004,204.8317725264933
0.0499,204.36222126655048
0.05,203.870443654494
0.050100000000000006,203.28695737448288
0.0502,202.63244666327955
0.050300000000000004,202.1376828776265
0.0504,201.58330269830185
0.0505,201.0058512946125
0.050600000000000006,200.52700483301305
0.0507,200.06321411365934
0.050800000000000005,199.52969128959376
0.0509,198.85738050717555
0.051000000000000004,198.3543660872092
0.051100000000000007,197.87726414650388
0.0512,197.30977728746075
0.051300000000000005,196.71909115463495
0.0514,196.19066696224036
0.051500000000000004,195.62501097950735
0.05160000000000001,195.17068456448033
0.0517,194.6749718617648
0.051800000000000006,193.99350982537726
0.0519,193.46139856812079
0.052000000000000005,192.97489083500113
0.05210000000000001,192.48205109499395
0.0522,191.97950476508413
0.052300000000000006,191.41160382058297
0.0524,190.9124412340825
0.052500000000000005,190.41750808718643
0.05260000000000001,189.7517512399354
0.052700000000000004,189.25538210854575
0.05280000000000001,188.9626745574933
0.0529,188.43472486756218
0.053000000000000005,187.72117006182089
0.05310000000000001,187.27668225494563
0.053200000000000004,186.73315703723347
0.05330000000000001,186.09091766537313
0.0534,185.57203254732303
0.053500000000000006,185.15463702345733
0.05360000000000001,184.63581749331206
0.053700000000000005,184.01200774218887
0.05380000000000001,183.3749470259645
0.0539,182.9264003210701
0.054000000000000006,182.43618214435992
0.05410000000000001,181.89631350152194
0.054200000000000005,181.40450532050454
0.05430000000000001,180.8699520828959
0.054400000000000004,180.24206883108127
0.05450000000000001,179.9254098231031
0.05460000000000001,179.39052006424754
0.054700000000000006,178.70526820921805
0.05480000000000001,178.2396052654658
0.054900000000000004,177.73250684785307
0.05500000000000001,177.21084567296202
0.05510000000000001,176.60611061973032
0.055200000000000006,176.26825685266522
0.05530000000000001,175.80203530954896
0.055400000000000005,175.0912971435755
0.05550000000000001,174.57195412825968
0.05560000000000001,174.07039034528134
0.055700000000000006,173.51478887071426
0.05580000000000001,173.06106133120193
0.055900000000000005,172.60615265772503
0.05600000000000001,172.00322500376205
0.05610000000000001,171.56599975012068
0.05620000000000001,171.3074745888989
0.056299999999999996,170.56402990015613
0.043300000000000005,241.56751634686952
0.0434,241.0310925320373
0.043500000000000004,240.57764846959617
0.0436,240.1551002256747
0.0437,239.62798215361545
0.043800000000000006,239.17612930660835
0.0439,238.14391262611025
0.044000000000000004,237.5209964649839
0.0441,236.93509502855886
0.0442,236.40863429466845
0.044300000000000006,235.87117110652616
0.0444,235.36057982236525
0.044500000000000005,234.76833016896126
0.0446,234.17556110133592
0.044700000000000004,233.5987081285566
0.044800000000000006,233.05890908895526
0.0449,232.5652138874866
0.045000000000000005,232.02723225823138
0.0451,231.33435947209364
0.045200000000000004,230.6597964349785
0.04530000000000001,229.8657329028356
0.0454,229.48884666571394
0.045500000000000006,228.89395065797726
0.0456,228.24284258892294
0.045700000000000005,227.66114092939824
0.04580000000000001,227.07852123636985
0.0459,226.50075661303708
0.046000000000000006,226.50075661303708
0.0461,225.5089660541853
0.046200000000000005,225.06323493769742
0.04630000000000001,224.44205248064827
0.046400000000000004,223.9001825734158
0.04650000000000001,223.46673835301772
0.0466,223.0006802001153
0.046700000000000005,222.33882043714402
0.04680000000000001,221.74873204017058
0.0469,221.21960514242528
0.047,220.57407805367257
0.0471,219.96053409701562
0.0472,219.4490393478336
0.0473,218.6930148906249
0.0474,218.40489126184548
0.0475,217.52362039081345
0.0476,216.99170710239196
0.0477,216.43480792446644
0.0478,215.8294504757796
0.0479,215.25344710150966
0.048,214.62394465331454
0.048100000000000004,214.05558101955103
0.0482,213.55546261416748
0.0483,213.11866857786663
0.0484,212.66327809897484
0.0485,212.1634759180597
0.048600000000000004,211.2222508713603
0.0487,211.2222508713603
0.0488,210.61771538859466
0.0489,210.1219040794531
0.049,209.57836559345014
0.049100000000000005,208.99161373096285
0.0492,207.97416146815522
0.049300000000000004,207.40998583694454
0.0494,206.8543231577496
0.0495,206.33646151679568
0.049600000000000005,205.90970906047733
0.0497,205.44630353699904
0.049800000000000004,204.8317725264933
0.0499,204.1760378354811
0.05,203.870443654494
0.050100000000000006,203.5677366994205
0.0502,202.85303834121441
0.050300000000000004,202.313245013298
0.0504,201.81070270491182
0.0505,201.18995421932777
0.050600000000000006,200.52700483301305
0.0507,199.9148497178685
0.050800000000000005,199.30156590377737
0.0509,198.85738050717555
0.051000000000000004,198.3543660872092
0.051100000000000007,197.93271203477343
0.0512,197.50779135567427
0.051300000000000005,196.9187335576571
0.0514,196.00144083387568
0.051500000000000004,195.62501097950735
0.05160000000000001,195.17068456448033
0.0517,194.6749718617648
0.051800000000000006,193.99350982537726
0.0519,193.46139856812079
0.052000000000000005,193.24419027994736
0.05210000000000001,192.28868095431244
0.0522,191.97950476508413
0.052300000000000006,191.63087450653256
0.0524,190.8028535546182
0.052500000000000005,190.12487196632264
0.05260000000000001,189.7517512399354
0.052700000000000004,189.4743693046621
0.05280000000000001,188.9626745574933
0.0529,188.43472486756218
0.053000000000000005,187.59447677244316
0.05310000000000001,187.0942725414643
0.053200000000000004,186.4786788148631
0.05330000000000001,185.90849900987814
0.0534,185.47437727323268
0.053500000000000006,185.0735414280789
0.05360000000000001,184.55951467651175
0.053700000000000005,184.01200774218887
0.05380000000000001,183.54855433819466
0.0539,183.0735076230776
0.054000000000000006,182.185680274677
0.05410000000000001,182.185680274677
0.054200000000000005,181.63730009831488
0.05430000000000001,180.66513005862362
0.054400000000000004,180.24206883108127
0.05450000000000001,179.86970254051266
0.05460000000000001,179.39052006424754
0.054700000000000006,178.70526820921805
0.05480000000000001,178.46226887792
0.054900000000000004,177.97480976278894
0.05500000000000001,177.05068902135827
0.05510000000000001,176.6878000656434
0.055200000000000006,176.26825685266522
0.05530000000000001,175.80203530954896
0.055400000000000005,175.31949622785578
0.05550000000000001,174.78791050770087
0.05560000000000001,174.29766769208072
0.055700000000000006,173.50842795698554
0.05580000000000001,173.06106133120193
0.055900000000000005,172.65368662543187
0.05600000000000001,172.20154889747937
0.05610000000000001,171.65950724930008
0.05620000000000001,171.3074745888989
0.056299999999999996,170.47720698887224
0.043300000000000005,241.56751634686952
0.0434,241.0310925320373
0.043500000000000004,240.6333257293445
0.0436,240.1551002256747
0.0437,239.62798215361545
0.043800000000000006,238.77879835281055
0.0439,238.14391262611025
0.044000000000000004,237.5209964649839
0.0441,236.93509502855886
0.0442,236.40863429466845
0.044300000000000006,235.87117110652616
0.0444,235.36057982236525
0.044500000000000005,234.76833016896126
0.0446,234.17556110133592
0.044700000000000004,233.5987081285566
0.044800000000000006,233.05890908895526
0.0449,232.5652138874866
0.045000000000000005,232.02723225823138
0.0451,231.33435947209364
0.045200000000000004,230.6597964349785
0.04530000000000001,229.8657329028356
0.0454,229.8657329028356
0.045500000000000006,228.89395065797726
0.0456,228.24284258892294
0.045700000000000005,228.24284258892294
0.04580000000000001,227.07852123636985
0.0459,226.50075661303708
0.046000000000000006,225.94704735063715
0.0461,225.5089660541853
0.046200000000000005,225.03638701656018
0.04630000000000001,224.44205248064827
0.046400000000000004,223.9001825734158
0.04650000000000001,223.46673835301772
0.0466,223.0006802001153
0.046700000000000005,222.33882043714402
0.04680000000000001,221.74873204017058
0.0469,221.21960514242528
0.047,220.57407805367257
0.0471,219.96053409701562
0.0472,219.4490393478336
0.0473,218.88499829915236
0.0474,218.40489126184548
0.0475,217.52362039081345
0.0476,216.99170710239196
0.0477,216.43480792446644
0.0478,215.8294504757796
0.0479,215.25344710150966
0.048,214.62394465331454
0.048100000000000004,214.62394465331454
0.0482,213.55546261416748
0.0483,213.11866857786663
0.0484,212.68680968822446
0.0485,212.1634759180597
0.048600000000000004,211.2222508713603
0.0487,211.2222508713603
0.0488,210.61771538859466
0.0489,210.1219040794531
0.049,209.57836559345014
0.049100000000000005,208.99161373096285
0.0492,207.97416146815522
0.049300000000000004,207.40998583694454
0.0494,206.8543231577496
0.0495,206.33646151679568
0.049600000000000005,205.90970906047733
0.0497,205.41386038041674
0.049800000000000004,204.8317725264933
0.0499,204.1760378354811
0.05,203.5677366994205
0.050100000000000006,203.5677366994205
0.0502,202.85303834121441
0.050300000000000004,202.313245013298
0.0504,201.81070270491182
0.0505,201.18995421932777
0.050600000000000006,200.52700483301305
0.0507,199.9148497178685
0.050800000000000005,199.30156590377737
0.0509,198.7921137317462
0.051000000000000004,198.3543660872092
0.051100000000000007,197.93271203477343
0.0512,197.50779135567427
0.051300000000000005,196.9187335576571
0.0514,196.44420291911229
0.051500000000000004,195.55635513845482
0.05160000000000001,195.17068456448033
0.0517,194.7557705497602
0.051800000000000006,194.2308164551796
0.0519,193.70753570948727
0.052000000000000005,192.76052582231932
0.05210000000000001,192.76052582231932
0.0522,191.98209222237347
0.052300000000000006,191.63087450653256
0.0524,190.8028535546182
0.052500000000000005,190.12487196632264
0.05260000000000001,190.12487196632264
0.052700000000000004,189.4743693046621
0.05280000000000001,188.9626745574933
0.0529,188.25454065742088
0.053000000000000005,187.59447677244316
0.05310000000000001,187.0942725414643
0.053200000000000004,186.4786788148631
0.05330000000000001,185.90849900987814
0.0534,185.47437727323268
0.053500000000000006,185.0735414280789
0.05360000000000001,184.55951467651175
0.053700000000000005,184.09021997032687
0.05380000000000001,183.54855433819466
0.0539,183.0735076230776
0.054000000000000006,182.185680274677
0.05410000000000001,182.185680274677
0.054200000000000005,181.63730009831488
0.05430000000000001,180.66513005862362
0.054400000000000004,180.24206883108127
0.05450000000000001,179.86970254051266
0.05460000000000001,179.60138514477876
0.054700000000000006,179.04948245495325
0.05480000000000001,178.46226887792
0.054900000000000004,177.97480976278894
0.05500000000000001,177.05068902135827
0.05510000000000001,176.6878000656434
0.055200000000000006,176.26825685266522
0.05530000000000001,175.80203530954896
0.055400000000000005,175.31949622785578
0.05550000000000001,174.78791050770087
0.05560000000000001,174.29766769208072
0.055700000000000006,173.50842795698554
0.05580000000000001,173.06106133120193
0.055900000000000005,172.65368662543187
0.05600000000000001,172.20154889747937
0.05610000000000001,171.65950724930008
0.05620000000000001,171.2114769142754
0.056299999999999996,170.47720698887224
0.043300000000000005,241.56751634686952
0.0434,241.0310925320373
0.043500000000000004,240.6333257293445
0.0436,240.1551002256747
0.0437,239.62798215361545
0.043800000000000006,238.77879835281055
0.0439,238.14391262611025
0.044000000000000004,237.5209964649839
0.0441,237.5209964649839
0.0442,236.40863429466845
0.044300000000000006,235.87117110652616
0.0444,235.36057982236525
0.044500000000000005,234.76833016896126
0.0446,234.17556110133592
0.044700000000000004,233.5987081285566
0.044800000000000006,233.05890908895526
0.0449,232.5652138874866
0.045000000000000005,232.02723225823138
0.0451,231.33435947209364
0.045200000000000004,230.6597964349785
0.04530000000000001,230.6597964349785
0.0454,229.8657329028356
0.045500000000000006,228.89395065797726
0.0456,228.4804695211933
0.045700000000000005,228.24284258892294
0.04580000000000001,227.07852123636985
0.0459,226.78328422660707
0.046000000000000006,226.2517103087739
0.0461,225.5089660541853
0.046200000000000005,225.03638701656018
0.04630000000000001,224.44205248064827
0.046400000000000004,223.9001825734158
0.04650000000000001,223.46673835301772
0.0466,223.0006802001153
0.046700000000000005,222.33882043714402
0.04680000000000001,221.74873204017058
0.0469,221.21960514242528
0.047,220.57407805367257
0.0471,219.96053409701562
0.0472,219.4490393478336
0.0473,218.88499829915236
0.0474,218.40489126184548
0.0475,217.96162405767245
0.0476,216.99170710239196
0.0477,216.43480792446644
0.0478,215.8294504757796
0.0479,215.25344710150966
0.048,214.62394465331454
0.048100000000000004,214.62394465331454
0.0482,214.05558101955103
0.0483,213.11866857786663
0.0484,212.68680968822446
0.0485,212.1634759180597
0.048600000000000004,211.66913029842544
0.0487,211.2222508713603
0.0488,210.61771538859466
0.0489,210.1219040794531
0.049,209.23109738365747
0.049100000000000005,208.99161373096285
0.0492,207.97416146815522
0.049300000000000004,207.40998583694454
0.0494,206.8543231577496
0.0495,206.41959179594414
0.049600000000000005,205.90970906047733
0.0497,205.41386038041674
0.049800000000000004,204.8317725264933
0.0499,204.1760378354811
0.05,203.5677366994205
0.050100000000000006,203.5677366994205
0.0502,202.85303834121441
0.050300000000000004,202.313245013298
0.0504,201.81070270491182
0.0505,201.18995421932777
0.050600000000000006,200.52700483301305
0.0507,199.9148497178685
0.050800000000000005,199.30156590377737
0.0509,198.7921137317462
0.051000000000000004,198.3543660872092
0.051100000000000007,197.93271203477343
0.0512,197.50779135567427
0.051300000000000005,196.9187335576571
0.0514,196.44420291911229
0.051500000000000004,195.55635513845482
0.05160000000000001,195.17068456448033
0.0517,194.7557705497602
0.051800000000000006,194.2308164551796
0.0519,193.70753570948727
0.052000000000000005,192.76052582231932
0.05210000000000001,192.76052582231932
0.0522,191.98209222237347
0.052300000000000006,191.63087450653256
0.0524,190.8028535546182
0.052500000000000005,190.12487196632264
0.05260000000000001,190.12487196632264
0.052700000000000004,189.4743693046621
0.05280000000000001,188.6431536158343
0.0529,188.25454065742088
0.053000000000000005,187.59447677244316
0.05310000000000001,187.0942725414643
0.053200000000000004,186.4786788148631
0.05330000000000001,185.90849900987814
0.0534,185.47437727323268
0.053500000000000006,185.0735414280789
0.05360000000000001,184.55951467651175
0.053700000000000005,184.09021997032687
0.05380000000000001,183.54855433819466
0.0539,183.0735076230776
0.054000000000000006,182.4358349124377
0.05410000000000001,181.92967042484088
0.054200000000000005,181.63730009831488
0.05430000000000001,180.66513005862362
0.054400000000000004,180.24206883108127
0.05450000000000001,179.86970254051266
0.05460000000000001,179.60138514477876
0.054700000000000006,178.46226887792
0.05480000000000001,178.46226887792
0.054900000000000004,177.97480976278894
0.05500000000000001,177.05068902135827
0.05510000000000001,176.6878000656434
0.055200000000000006,176.26825685266522
0.05530000000000001,175.80203530954896
0.055400000000000005,175.31949622785578
0.05550000000000001,174.78791050770087
0.05560000000000001,174.29766769208072
0.055700000000000006,173.50842795698554
0.05580000000000001,173.06106133120193
0.055900000000000005,172.65368662543187
0.05600000000000001,172.20154889747937
0.05610000000000001,171.65950724930008
0.05620000000000001,171.2114769142754
0.056299999999999996,170.47720698887224
0.043300000000000005,241.56751634686952
0.0434,241.0310925320373
0.043500000000000004,240.6333257293445
0.0436,240.1551002256747
0.0437,239.62798215361545
0.043800000000000006,238.77879835281055
0.0439,238.14391262611025
0.044000000000000004,237.5209964649839
0.0441,236.86760170437628
0.0442,236.40863429466845
0.044300000000000006,235.8653017078177
0.0444,235.24379737301115
0.044500000000000005,234.76833016896126
0.0446,234.17556110133592
0.044700000000000004,233.3903858587728
0.044800000000000006,232.83780458924593
0.0449,232.4011508927215
0.045000000000000005,231.84397094670567
0.0451,231.33435947209364
0.045200000000000004,230.6597964349785
0.04530000000000001,230.13596277835313
0.0454,229.8657329028356
0.045500000000000006,228.89395065797726
0.0456,228.4804695211933
0.045700000000000005,227.91221931070322
0.04580000000000001,227.37000325508416
0.0459,226.78328422660707
0.046000000000000006,226.2517103087739
0.0461,225.5089660541853
0.046200000000000005,225.03638701656018
0.04630000000000001,224.44205248064827
0.046400000000000004,223.9001825734158
0.04650000000000001,223.46673835301772
0.0466,223.0006802001153
0.046700000000000005,222.33882043714402
0.04680000000000001,221.74873204017058
0.0469,220.9496543032874
0.047,220.57407805367257
0.0471,219.96053409701562
0.0472,219.4490393478336
0.0473,218.88499829915236
0.0474,218.40489126184548
0.0475,217.96162405767245
0.0476,216.99170710239196
0.0477,216.43480792446644
0.0478,216.24004978191806
0.0479,215.25344710150966
0.048,214.9555365392589
0.048100000000000004,214.09373470634455
0.0482,213.57971158839064
0.0483,213.11866857786663
0.0484,212.68680968822446
0.0485,212.1634759180597
0.048600000000000004,211.66913029842544
0.0487,210.8335984791047
0.0488,210.28074881021166
0.0489,209.79855712578865
0.049,209.23109738365747
0.049100000000000005,208.6896982397884
0.0492,207.97416146815522
0.049300000000000004,207.56481614528457
0.0494,206.990515773301
0.0495,206.41959179594414
0.049600000000000005,205.90970906047733
0.0497,205.41386038041674
0.049800000000000004,204.8317725264933
0.0499,204.1760378354811
0.05,204.00364016758977
0.050100000000000006,203.5677366994205
0.0502,202.57557372917654
0.050300000000000004,202.313245013298
0.0504,201.81070270491182
0.0505,201.18995421932777
0.050600000000000006,200.52700483301305
0.0507,199.9148497178685
0.050800000000000005,199.6070846003422
0.0509,198.7921137317462
0.051000000000000004,198.37305153193302
0.051100000000000007,197.93271203477343
0.0512,197.46968769103114
0.051300000000000005,196.9187335576571
0.0514,196.44420291911229
0.051500000000000004,195.55635513845482
0.05160000000000001,195.06523259350797
0.0517,194.7557705497602
0.051800000000000006,194.2308164551796
0.0519,193.70753570948727
0.052000000000000005,192.76052582231932
0.05210000000000001,192.2869721170573
0.0522,191.98209222237347
0.052300000000000006,191.24036138794327
0.0524,190.8028535546182
0.052500000000000005,190.12487196632264
0.05260000000000001,190.12487196632264
0.052700000000000004,189.4743693046621
0.05280000000000001,188.6431536158343
0.0529,188.25454065742088
0.053000000000000005,187.9045492031728
0.05310000000000001,187.38153047749074
0.053200000000000004,186.4786788148631
0.05330000000000001,185.90849900987814
0.0534,185.47437727323268
0.053500000000000006,185.0735414280789
0.05360000000000001,184.55951467651175
0.053700000000000005,184.09021997032687
0.05380000000000001,183.54855433819466
0.0539,183.0735076230776
0.054000000000000006,182.4358349124377
0.05410000000000001,181.92967042484088
0.054200000000000005,181.37093554009334
0.05430000000000001,180.88469132283353
0.054400000000000004,180.46213632819126
0.05450000000000001,180.08394187436352
0.05460000000000001,179.60138514477876
0.054700000000000006,178.79099232939188
0.05480000000000001,178.46226887792
0.054900000000000004,177.76617988324142
0.05500000000000001,177.36729224861483
0.05510000000000001,176.6878000656434
0.055200000000000006,176.26825685266522
0.05530000000000001,175.80203530954896
0.055400000000000005,175.08428972860565
0.05550000000000001,174.5238426074502
0.05560000000000001,173.99077856064832
0.055700000000000006,173.50842795698554
0.05580000000000001,173.18707554534194
0.055900000000000005,172.65368662543187
0.05600000000000001,172.20154889747937
